date,open,close,high,low,volume
2021-03-11,37.9851500000,39.4817649100,39.6944817500,37.9851500000,90421033
2021-03-12,39.7704520500,40.5073639600,40.5605431700,39.6033173900,85580753
2021-03-15,40.2490649400,40.3478263300,41.6241273700,39.9907659200,93931916
2021-03-16,40.9479917000,41.2670669600,41.9735907500,40.6441105000,69716276
2021-03-17,40.9859768500,40.5681402000,41.2670669600,40.4921699000,53231461
2021-03-18,40.4921699000,41.2062907200,41.2518729000,40.1882887000,48279311
2021-03-19,41.0391560600,39.3222272800,41.3734253800,39.1550926200,77628361
2021-03-22,39.6564966000,40.8568273400,41.5709481600,39.5805263000,79169531
2021-03-23,40.9403946700,40.6289164400,41.3658283500,40.1275124600,59592261
2021-03-24,40.9935738800,39.6564966000,41.0239620000,39.2158688600,57501314
2021-03-25,40.0059599800,38.7524500300,40.1806916700,38.4105836800,78453830
2021-03-26,39.0867193500,39.2006748000,39.3678094600,38.5397331900,70947525
2021-03-29,39.2766451000,38.6992708200,39.3526154000,38.4029866500,77980362
2021-03-30,38.8208233000,39.1702866800,39.1702866800,38.3118222900,56940202
2021-03-31,39.1247045000,38.8208233000,39.1247045000,38.0915084200,52164954
2021-04-01,38.8132262700,38.7828381500,38.9575698400,38.5169421000,33719469
2021-04-02,38.8815995400,38.7068678500,38.9347787500,38.4789569500,41153422
2021-04-06,38.8208233000,38.7372559700,39.3754064900,38.5929124000,44400201
2021-04-07,38.8588084500,38.3118222900,38.8588084500,38.0003440600,50061023
2021-04-08,38.1370906000,38.3650015000,38.4637628900,38.0231351500,29501067
2021-04-09,38.5321361600,38.1750757500,38.5321361600,37.8787915800,31506834
2021-04-12,38.2054638700,38.3346133800,38.4789569500,37.7496420700,41474239
2021-04-13,38.3650015000,38.2282549600,38.8967936000,37.9395678200,49039895
2021-04-14,38.4257777400,37.7572391000,38.4409718000,37.4381638400,55438353
2021-04-15,37.7724331600,37.5597163200,37.9699559400,36.6784608400,57296514
2021-04-16,37.7724331600,37.7876272200,37.8711945500,37.2938202700,31558344
2021-04-19,37.9091797000,39.3298243100,39.3374213400,37.6052985000,67932061
2021-04-20,38.7524500300,39.4969589700,39.6488995700,38.7524500300,35574407
2021-04-21,39.5501381800,40.1806916700,40.4086025700,39.5273470900,52446360
2021-04-22,40.1806916700,39.9679748300,40.4921699000,39.6337055100,42927078
2021-04-23,40.0363481000,40.4921699000,40.6441105000,39.7400639300,47104918
2021-04-26,41.0239620000,39.5577352100,41.4038135000,39.2766451000,91625741
2021-04-27,39.4665708500,39.5577352100,39.8312282900,39.1854807400,36329922
2021-04-28,39.6564966000,39.3222272800,39.7932431400,39.1095104400,38985543
2021-04-29,39.5045560000,40.4769758400,40.5301550500,38.9651668700,55274544
2021-04-30,40.1123184000,40.0363481000,40.4010055400,39.3602124300,45068841
2021-05-06,40.0363481000,40.7732600100,41.3126491400,39.8692134400,63835290
2021-05-07,40.9327976400,41.1607085400,41.9356056000,40.4997669300,72368376
2021-05-10,41.1759026000,40.9479917000,41.2138877500,40.2718560300,49224048
2021-05-11,40.6061253500,40.9024095200,41.1379174500,40.4769758400,32853312
2021-05-12,40.9100065500,40.7884540700,41.5177689500,40.3174382100,31749677
2021-05-13,40.6365134700,40.4161996000,41.3658283500,40.1427065200,39120553
2021-05-14,40.6365134700,41.7684709400,41.7836650000,40.1123184000,57881421
2021-05-17,41.7836650000,42.2774719500,42.9156224700,41.5177689500,52668425
2021-05-18,42.5281739400,42.5053828500,42.8396521700,42.3154571000,29335118
2021-05-19,42.5433680000,41.6317244000,42.6041442400,41.4114105300,35729344
2021-05-20,41.8596353000,42.1407254100,42.1787105600,41.2670669600,34210477
2021-05-21,42.4446066100,41.1075293300,42.4673977000,40.8720214000,51486455
2021-05-24,41.1759026000,41.0847382400,41.5557541000,40.8492303100,44539914
2021-05-25,41.1683055700,43.7209076500,43.7740868600,40.9707827900,96850204
2021-05-26,43.7968779500,44.4426255000,44.4882076800,43.7664898300,61306169
2021-05-27,44.0627740000,44.0247888500,44.6553423400,43.1587274300,51903739
2021-05-28,44.0627740000,44.4426255000,44.7085215500,43.7664898300,41014056
2021-05-31,44.2223116300,44.2071175700,44.3362670800,43.3030710000,36165671
2021-06-01,43.8348631000,43.5765640800,43.8804452800,43.2271007000,47426844
2021-06-02,43.4929967500,43.7436987400,43.8272660700,43.2119066400,40582027
2021-06-03,43.6829225000,42.7560848400,44.3134759900,42.6877115700,49067257
2021-06-04,42.5813531500,43.7057135900,44.7617007600,42.5585620600,60832907
2021-06-07,43.4626086300,43.3030710000,43.4929967500,42.9232195000,32489742
2021-06-08,43.2650858500,43.0751601000,44.0171918200,42.5509650300,47616623
2021-06-09,43.0751601000,42.9004284100,43.5765640800,42.7560848400,39140950
2021-06-10,42.9156224700,42.8092640500,43.6525343800,42.7408907800,48113526
2021-06-11,42.8548462300,42.7940699900,43.1131452500,41.8444412400,68208900
2021-06-15,42.4142184900,41.6317244000,42.4142184900,41.1151263600,52924052
2021-06-16,41.6317244000,42.2394868000,42.8168610800,41.4038135000,51877228
2021-06-17,42.1787105600,41.8748293600,42.5433680000,41.6773065800,31901934
2021-06-18,41.5937392500,41.5481570700,42.3154571000,41.0771412100,42711681
2021-06-21,41.2518729000,40.7884540700,41.6241273700,40.3554233600,57971550
2021-06-22,40.9176035800,42.1331283800,42.2242927400,40.9176035800,64359218
2021-06-23,42.0723521400,41.6469184600,42.1407254100,41.3886194400,40871965
